county,year,confirmed_victims,poverty_rate
Titus,2018,74,18.6
"Tom Green",2018,273,15.5
Trinity,2018,48,17.7
Tyler,2018,86,18.2
Upshur,2018,148,15.9
Upton,2018,8,14.2
Uvalde,2018,91,22.9
"Val Verde",2018,118,18.9
"Van Zandt",2018,170,15.6
Victoria,2018,264,15.4
Walker,2018,90,26.1
Waller,2018,90,15.9
Ward,2018,34,13.9
Washington,2018,66,13.8
Webb,2018,398,25.7
Wharton,2018,112,16.8
Wheeler,2018,14,14
Wichita,2018,504,17.8
Wilbarger,2018,43,15.3
Willacy,2018,73,35
Williamson,2018,684,6.4
Wilson,2018,68,10.9
Winkler,2018,18,14.1
Wise,2018,191,9.9
Wood,2018,122,15.3
Yoakum,2018,6,12.1
Young,2018,61,13.9
Zapata,2018,51,32.1
Zavala,2018,42,32
Anderson,2019,237,19.8
Andrews,2019,73,10.2
Angelina,2019,208,15.6
Aransas,2019,137,18.7
Archer,2019,14,10.3
Armstrong,2019,4,10.6
Atascosa,2019,247,14.7
Austin,2019,42,11.1
Bailey,2019,23,15.9
Bandera,2019,60,12.9
Bastrop,2019,286,14
Baylor,2019,14,15.9
Bee,2019,120,24
Blanco,2019,14,8.6
Bosque,2019,89,13.7
Bowie,2019,226,16.8
Brazoria,2019,623,8.6
Brazos,2019,313,20
Brewster,2019,14,13.1
Briscoe,2019,3,15
Brooks,2019,46,29.6
Brown,2019,232,13.7
Burleson,2019,64,13.8
Burnet,2019,210,10.5
Caldwell,2019,167,14.4
Calhoun,2019,90,14.7
Callahan,2019,48,12.1
Camp,2019,46,16.6
Carson,2019,16,8.5
Cass,2019,109,17.3
Castro,2019,22,15.3
Chambers,2019,68,8.6
Cherokee,2019,221,16.5
Childress,2019,30,21.9
Clay,2019,20,11.5
Cochran,2019,6,19.5
Coke,2019,15,13.1
Coleman,2019,51,17.7
Collingsworth,2019,15,19.8
Colorado,2019,21,13.6
Comal,2019,332,6.7
Comanche,2019,58,13.5
Concho,2019,9,15.1
Cooke,2019,195,12.7
Coryell,2019,411,11.8
Cottle,2019,9,18.9
Crane,2019,7,9.6
Crockett,2019,17,13.8
Crosby,2019,19,22.1
Culberson,2019,10,19.7
Dallam,2019,35,11.4
Dawson,2019,61,20.6
"Deaf Smith",2019,62,17
Delta,2019,17,16
DeWitt,2019,20,17.1
Dickens,2019,9,19.4
Dimmit,2019,30,25.3
Donley,2019,10,16.4
Duval,2019,73,23.9
Eastland,2019,76,16.7
Ector,2019,453,12.1
Edwards,2019,7,20.7
Ellis,2019,341,8.7
Erath,2019,165,15.2
Falls,2019,66,21.6
Fannin,2019,111,13.2
Fayette,2019,38,10.9
Fisher,2019,8,13.3
Floyd,2019,13,17.3
Foard,2019,4,17
"Fort Bend",2019,540,6.6
