Year,County,Victims
2021,Archer,18
2021,Baylor,27
2021,Brown,241
2021,Callahan,46
2021,Clay,32
2021,Coleman,39
2021,Comanche,44
2021,Cottle,8
2021,Eastland,105
2021,Fisher,25
2021,Foard,3
2021,Hardeman,8
2021,Haskell,25
2021,Jack,37
2021,Jones,65
2021,Knox,8
2021,Mitchell,54
2021,Montague,95
2021,Nolan,104
2021,Runnels,44
2021,Scurry,85
2021,Shackelford,9
2021,Stephens,36
2021,Stonewall,3
2021,Taylor,911
2021,Throckmorton,3
2021,Wichita,565
2021,Wilbarger,47
2021,Young,65
2021,Collin,"1,278"
2021,Cooke,148
2021,Dallas,"6,679"
2021,Denton,"1,480"
2021,Ellis,278
2021,Erath,129
2021,Fannin,84
2021,Grayson,356
2021,Hood,248
2021,Hunt,356
2021,Johnson,514
2021,Kaufman,446
2021,Navarro,155
2021,Palo Pinto,151
2021,Parker,431
2021,Rockwall,257
2021,Somervell,24
2021,Tarrant,"6,511"
2021,Wise,199
2021,Anderson,148
2021,Bowie,211
2021,Camp,46
2021,Cass,101
2021,Cherokee,212
2021,Delta,8
2021,Franklin,30
2021,Gregg,501
2021,Harrison,162
2021,Henderson,218
2021,Hopkins,111
2021,Lamar,164
2021,Marion,41
2021,Morris,66
2021,Panola,52
2021,Rains,34
2021,Red River,34
2021,Rusk,163
2021,Smith,782
2021,Titus,68
2021,Upshur,129
2021,Van Zandt,158
2021,Wood,110
2021,Angelina,252
2021,Hardin,107
2021,Houston,55
2021,Jasper,62
2021,Jefferson,799
2021,Nacogdoches,160
2021,Newton,29
2021,Orange,296
2021,Polk,104
2021,Sabine,25
2021,San Augustine,31
2021,San Jacinto,53
2021,Shelby,76
2021,Trinity,44
2021,Tyler,45
2021,Austin,65
2021,Brazoria,514
2021,Chambers,75
2021,Colorado,47
2021,Fort Bend,527
2021,Galveston,757
2021,Harris,"7,405"
2021,Liberty,253
2021,Matagorda,115
2021,Montgomery,950
2021,Walker,86
2021,Waller,79
2021,Wharton,72
2021,Bastrop,205
2021,Bell,"1,728"
2021,Blanco,17
2021,Bosque,51
2021,Brazos,630
2021,Burleson,55
2021,Burnet,191
2021,Caldwell,141
2021,Coryell,455
2021,Falls,83
2021,Fayette,59
2021,Freestone,44
2021,Grimes,79
2021,Hamilton,28
2021,Hays,500
2021,Hill,168
2021,Lampasas,99
2021,Lee,47
2021,Leon,34
2021,Limestone,88
2021,Llano,102
2021,Madison,29
2021,McLennan,"1,230"
2021,Milam,133
2021,Mills,9
2021,Robertson,82
2021,San Saba,13
2021,Travis,"1,988"
2021,Washington,90
2021,Williamson,707
2021,Atascosa,228
2021,Bandera,53
2021,Bexar,"5,641"
2021,Calhoun,54
2021,Comal,391
2021,DeWitt,32
2021,Dimmit,46
2021,Edwards,7
2021,Frio,79
2021,Gillespie,52
2021,Goliad,18
2021,Gonzales,40
2021,Guadalupe,268
2021,Jackson,66
2021,Karnes,47
2021,Kendall,59
2021,Kerr,165
2021,Kinney,7
2021,La Salle,22
2021,Lavaca,34
2021,Maverick,104
2021,Medina,171
2021,Real,8
2021,Uvalde,118
2021,Val Verde,115
2021,Victoria,273
2021,Wilson,112
2021,Zavala,59
2021,Andrews,46
2021,Borden,7
2021,Coke,4
2021,Concho,4
2021,Crane,7
2021,Crockett,7
2021,Dawson,38
