Year,Name,Poverty Percent
2017,Victoria,15.7
2017,Walker,23.1
2017,Waller,15.5
2017,Ward,15.1
2017,Washington,12.9
2017,Webb,27.3
2017,Wharton,16.0
2017,Wheeler,14.5
2017,Wichita,16.8
2017,Wilbarger,16.4
2017,Willacy,35.0
2017,Williamson,6.1
2017,Wilson,9.1
2017,Winkler,14.7
2017,Wise,11.1
2017,Wood,15.2
2017,Yoakum,12.0
2017,Young,15.8
2017,Zapata,30.0
2017,Zavala,31.6
2018,Anderson,19.8
2018,Andrews,10.7
2018,Angelina,17.9
2018,Aransas,19.9
2018,Archer,10.6
2018,Armstrong,10.7
2018,Atascosa,15.7
2018,Austin,10.2
2018,Bailey,15.8
2018,Bandera,13.4
2018,Bastrop,12.6
2018,Baylor,16.1
2018,Bee,26.7
2018,Bell,13.0
2018,Bexar,17.2
2018,Blanco,10.1
2018,Borden,10.0
2018,Bosque,14.9
2018,Bowie,19.1
2018,Brazoria,10.1
2018,Brazos,23.2
2018,Brewster,16.0
2018,Briscoe,16.2
2018,Brooks,31.0
2018,Brown,13.2
2018,Burleson,14.8
2018,Burnet,11.0
2018,Caldwell,14.1
2018,Calhoun,14.2
2018,Callahan,12.0
2018,Cameron,27.9
2018,Camp,18.8
2018,Carson,8.9
2018,Cass,20.4
2018,Castro,17.5
2018,Chambers,8.5
2018,Cherokee,17.4
2018,Childress,21.2
2018,Clay,10.9
2018,Cochran,21.9
2018,Coke,14.1
2018,Coleman,19.3
2018,Collin,6.4
2018,Collingsworth,17.3
2018,Colorado,13.7
2018,Comal,7.1
2018,Comanche,16.4
2018,Concho,26.6
2018,Cooke,14.8
2018,Coryell,15.0
2018,Cottle,21.2
2018,Crane,10.1
2018,Crockett,15.3
2018,Crosby,23.7
2018,Culberson,20.3
2018,Dallam,12.1
2018,Dallas,14.2
2018,Dawson,22.9
2018,Deaf Smith,17.5
2018,Delta,17.2
2018,Denton,7.3
2018,DeWitt,18.4
2018,Dickens,20.3
2018,Dimmit,24.6
2018,Donley,18.6
2018,Duval,25.5
2018,Eastland,18.7
2018,Ector,12.9
2018,Edwards,22.1
2018,Ellis,8.8
2018,El Paso,20.5
2018,Erath,18.1
2018,Falls,21.7
2018,Fannin,13.8
2018,Fayette,13.3
2018,Fisher,15.5
2018,Floyd,21.0
2018,Foard,18.0
2018,Fort Bend,7.9
2018,Franklin,15.2
2018,Freestone,13.7
2018,Frio,27.5
2018,Gaines,15.4
2018,Galveston,12.1
2018,Garza,24.6
2018,Gillespie,9.6
2018,Glasscock,9.7
2018,Goliad,14.4
2018,Gonzales,16.9
2018,Gray,16.7
2018,Grayson,12.3
2018,Gregg,15.1
2018,Grimes,17.5
2018,Guadalupe,8.5
2018,Hale,18.4
2018,Hall,24.1
2018,Hamilton,14.7
2018,Hansford,11.6
2018,Hardeman,17.4
2018,Hardin,12.4
2018,Harris,16.5
2018,Harrison,14.7
2018,Hartley,9.5
2018,Haskell,23.1
2018,Hays,13.2
2018,Hemphill,9.6
2018,Henderson,19.4
2018,Hidalgo,30.0
2018,Hill,12.6
2018,Hockley,19.5
2018,Hood,10.2
2018,Hopkins,14.6
2018,Houston,26.1
2018,Howard,20.6
2018,Hudspeth,17.8
2018,Hunt,13.6
2018,Hutchinson,13.0
2018,Irion,8.1
2018,Jack,17.7
2018,Jackson,12.9
2018,Jasper,19.2
2018,Jeff Davis,13.1
2018,Jefferson,18.7
2018,Jim Hogg,25.2
2018,Jim Wells,21.2
2018,Johnson,10.7
2018,Jones,22.0
2018,Karnes,21.8
2018,Kaufman,11.5
2018,Kendall,7.5
2018,Kenedy,14.3
2018,Kent,13.3
2018,Kerr,13.9
2018,Kimble,17.6
2018,King,13.7
2018,Kinney,21.1
2018,Kleberg,25.0
